PERSONID,EDUC,LOGWAGE,POTEXPER,TIMETRND,ABILITY,MOTHERED,FATHERED,BRKNHOME,SIBLINGS 
618,12,2.01,8,11,0.14,12,13,1,2
619,12,1.21,2,4,1.47,14,16,0,3
619,13,0.96,2,5,1.47,14,16,0,3
619,15,2.59,5,10,1.47,14,16,0,3
620,12,2.46,4,0,0.41,10,12,0,6
620,12,1.15,5,1,0.41,10,12,0,6
620,12,2.59,6,2,0.41,10,12,0,6
620,12,2.4,8,4,0.41,10,12,0,6
620,12,2.46,9,5,0.41,10,12,0,6
620,12,2.52,10,6,0.41,10,12,0,6
620,12,2.73,11,7,0.41,10,12,0,6
620,12,2.89,12,8,0.41,10,12,0,6
620,12,2.88,13,9,0.41,10,12,0,6
620,12,2.65,14,10,0.41,10,12,0,6
620,12,2.69,15,11,0.41,10,12,0,6
620,12,3.08,16,12,0.41,10,12,0,6
620,12,2.91,17,13,0.41,10,12,0,6
620,12,2.91,18,14,0.41,10,12,0,6
621,12,1.76,6,3,0.27,11,11,0,8
621,12,2.25,7,4,0.27,11,11,0,8
622,12,1.82,3,0,-0.58,12,12,0,6
622,12,1.84,4,1,-0.58,12,12,0,6
622,12,1.89,5,2,-0.58,12,12,0,6
622,12,1.8,6,3,-0.58,12,12,0,6
622,12,1.88,7,4,-0.58,12,12,0,6
622,12,1.76,8,5,-0.58,12,12,0,6
622,12,1.91,9,6,-0.58,12,12,0,6
622,12,1.82,10,7,-0.58,12,12,0,6
622,12,2.05,11,8,-0.58,12,12,0,6
622,12,2.06,12,9,-0.58,12,12,0,6
622,12,2.32,13,10,-0.58,12,12,0,6
622,12,2.27,14,11,-0.58,12,12,0,6
622,12,2.06,15,12,-0.58,12,12,0,6
622,12,2.2,16,13,-0.58,12,12,0,6
622,12,2.26,17,14,-0.58,12,12,0,6
623,11,2,2,0,0.17,12,12,0,6
623,11,2.07,3,1,0.17,12,12,0,6
623,11,2.06,4,2,0.17,12,12,0,6
623,11,2.18,5,3,0.17,12,12,0,6
623,11,2.28,6,4,0.17,12,12,0,6
623,11,2.39,7,5,0.17,12,12,0,6
623,11,2.42,8,6,0.17,12,12,0,6
623,11,2.48,9,7,0.17,12,12,0,6
623,11,2.65,10,8,0.17,12,12,0,6
623,11,2.5,11,9,0.17,12,12,0,6
623,11,2.49,12,10,0.17,12,12,0,6
623,11,2.59,13,11,0.17,12,12,0,6
623,11,2.57,14,12,0.17,12,12,0,6
623,11,2.56,15,13,0.17,12,12,0,6
623,11,2.53,16,14,0.17,12,12,0,6
624,10,1.37,2,1,-0.77,12,12,0,6
624,12,1.75,2,3,-0.77,12,12,0,6
624,12,1.34,3,4,-0.77,12,12,0,6
624,12,1.64,5,6,-0.77,12,12,0,6
624,12,1.93,6,7,-0.77,12,12,0,6
624,12,2.11,7,8,-0.77,12,12,0,6
624,12,2.14,8,9,-0.77,12,12,0,6
624,12,2.05,9,10,-0.77,12,12,0,6
624,12,2.13,10,11,-0.77,12,12,0,6
624,12,2.43,11,12,-0.77,12,12,0,6
624,12,2.2,12,13,-0.77,12,12,0,6
624,12,2.22,13,14,-0.77,12,12,0,6
625,10,1.32,5,6,-0.77,12,12,0,6
625,10,2.09,6,7,-0.77,12,12,0,6
625,10,2.05,7,8,-0.77,12,12,0,6
625,10,1.82,8,9,-0.77,12,12,0,6
625,10,1.86,9,10,-0.77,12,12,0,6
625,10,2.07,10,11,-0.77,12,12,0,6
625,10,2.02,12,13,-0.77,12,12,0,6
625,10,2.11,13,14,-0.77,12,12,0,6
626,12,2.42,6,2,0.33,12,12,0,4
626,12,2.36,7,3,0.33,12,12,0,4
626,12,1.88,10,6,0.33,12,12,0,4
626,12,2.01,11,7,0.33,12,12,0,4
626,12,2.04,12,8,0.33,12,12,0,4
626,12,2.36,13,9,0.33,12,12,0,4
626,12,2.47,14,10,0.33,12,12,0,4
626,12,2.59,15,11,0.33,12,12,0,4
626,12,3.07,16,12,0.33,12,12,0,4
626,12,3.17,17,13,0.33,12,12,0,4
626,12,2.63,18,14,0.33,12,12,0,4
627,20,3.53,6,11,1.43,12,12,0,3
628,14,2.14,5,3,-0.71,12,12,0,4
628,14,2.23,6,4,-0.71,12,12,0,4
628,14,2.32,7,5,-0.71,12,12,0,4
628,14,2.48,8,6,-0.71,12,12,0,4
628,14,2.62,9,7,-0.71,12,12,0,4
628,15,2.62,9,8,-0.71,12,12,0,4
628,15,2.69,10,9,-0.71,12,12,0,4
628,15,2.77,11,10,-0.71,12,12,0,4
628,15,2.75,12,11,-0.71,12,12,0,4
628,15,2.84,13,12,-0.71,12,12,0,4
628,16,2.82,13,13,-0.71,12,12,0,4
628,16,2.86,14,14,-0.71,12,12,0,4
629,12,2.41,2,0,-0.58,12,12,0,4
629,12,2.51,3,1,-0.58,12,12,0,4
629,12,2.48,4,2,-0.58,12,12,0,4
629,12,2.5,5,3,-0.58,12,12,0,4
629,12,2.41,8,6,-0.58,12,12,0,4
629,12,2.56,9,7,-0.58,12,12,0,4
629,12,2.73,10,8,-0.58,12,12,0,4
629,12,2.72,11,9,-0.58,12,12,0,4
629,12,2.7,12,10,-0.58,12,12,0,4
629,12,2.68,13,11,-0.58,12,12,0,4
629,12,2.67,14,12,-0.58,12,12,0,4
629,12,2.64,15,13,-0.58,12,12,0,4
629,12,2.74,16,14,-0.58,12,12,0,4
630,12,2.34,4,0,1.41,12,10,0,3
630,12,2.17,5,1,1.41,12,10,0,3
630,12,2.35,6,2,1.41,12,10,0,3
630,12,2.37,7,3,1.41,12,10,0,3
630,12,1.63,10,6,1.41,12,10,0,3
630,12,1.99,11,7,1.41,12,10,0,3
630,12,2.12,12,8,1.41,12,10,0,3
630,12,2.18,13,9,1.41,12,10,0,3
630,12,2.37,14,10,1.41,12,10,0,3
630,12,2.48,15,11,1.41,12,10,0,3
630,12,2.52,16,12,1.41,12,10,0,3
630,12,2.61,17,13,1.41,12,10,0,3
630,12,2.7,18,14,1.41,12,10,0,3
631,12,2.53,2,0,0.93,12,8,0,3
631,12,2.72,3,1,0.93,12,8,0,3
631,12,2.63,4,2,0.93,12,8,0,3
631,12,2.89,5,3,0.93,12,8,0,3
631,12,2.94,6,4,0.93,12,8,0,3
631,12,2.99,7,5,0.93,12,8,0,3
631,12,3.14,8,6,0.93,12,8,0,3
631,12,3.14,9,7,0.93,12,8,0,3
631,12,3,10,8,0.93,12,8,0,3
631,12,3.14,11,9,0.93,12,8,0,3
632,12,2.52,3,0,0.02,12,12,0,1
632,12,2.32,4,1,0.02,12,12,0,1
632,12,2.26,5,2,0.02,12,12,0,1
632,12,2.37,6,3,0.02,12,12,0,1
632,12,2.35,7,4,0.02,12,12,0,1
632,12,2.46,8,5,0.02,12,12,0,1
632,12,2.42,9,6,0.02,12,12,0,1
632,12,2.51,10,7,0.02,12,12,0,1
632,12,2.5,11,8,0.02,12,12,0,1
632,12,2.46,12,9,0.02,12,12,0,1
632,12,2.42,13,10,0.02,12,12,0,1
632,12,2.4,14,11,0.02,12,12,0,1
632,12,2.35,15,12,0.02,12,12,0,1
632,12,2.33,16,13,0.02,12,12,0,1
632,12,2.32,17,14,0.02,12,12,0,1
633,12,1.7,2,2,0.82,12,12,0,1
633,13,2.16,2,3,0.82,12,12,0,1
633,13,2.14,4,5,0.82,12,12,0,1
633,13,2.54,5,6,0.82,12,12,0,1
633,13,2.61,6,7,0.82,12,12,0,1
633,13,2.71,7,8,0.82,12,12,0,1
633,13,2.69,8,9,0.82,12,12,0,1
633,13,2.61,9,10,0.82,12,12,0,1
633,13,2.63,10,11,0.82,12,12,0,1
633,13,2.71,11,12,0.82,12,12,0,1
633,13,2.68,12,13,0.82,12,12,0,1
633,13,2.67,13,14,0.82,12,12,0,1
634,12,1.65,2,3,0.21,12,14,0,2
634,12,1.71,5,6,0.21,12,14,0,2
634,12,1.14,6,7,0.21,12,14,0,2
634,12,1.14,8,9,0.21,12,14,0,2
634,12,1.3,9,10,0.21,12,14,0,2
634,12,1.88,13,14,0.21,12,14,0,2
635,11,1.59,1,2,1.31,14,14,0,6
635,15,1.64,2,7,1.31,14,14,0,6
635,16,2.02,2,8,1.31,14,14,0,6
635,16,2.69,3,9,1.31,14,14,0,6
635,16,3.09,4,10,1.31,14,14,0,6
635,16,3.13,5,11,1.31,14,14,0,6
635,16,3.28,6,12,1.31,14,14,0,6
635,16,3.07,7,13,1.31,14,14,0,6
635,16,3.09,8,14,1.31,14,14,0,6
636,12,1.61,1,4,1.04,12,14,0,6
636,13,0.7,1,5,1.04,12,14,0,6
636,16,0.51,3,10,1.04,12,14,0,6
637,9,1.38,2,0,1.55,10,12,0,2
637,10,0.93,2,1,1.55,10,12,0,2
637,17,2.55,5,11,1.55,10,12,0,2
637,17,2.73,6,12,1.55,10,12,0,2
637,17,3.01,7,13,1.55,10,12,0,2
637,17,3.05,8,14,1.55,10,12,0,2
638,12,1.95,4,4,-1.22,12,12,0,5
638,12,1.82,5,5,-1.22,12,12,0,5
638,12,1.87,6,6,-1.22,12,12,0,5
638,12,1.94,7,7,-1.22,12,12,0,5
638,12,1.81,8,8,-1.22,12,12,0,5
638,12,2.14,9,9,-1.22,12,12,0,5
638,12,2.09,10,10,-1.22,12,12,0,5
638,12,2.12,11,11,-1.22,12,12,0,5
638,12,2.23,13,13,-1.22,12,12,0,5
638,12,2.24,14,14,-1.22,12,12,0,5
639,9,2.55,9,8,-0.74,12,12,0,4
639,9,2.03,10,9,-0.74,12,12,0,4
640,11,1.74,2,1,-0.74,12,12,0,3
640,12,1.97,2,2,-0.74,12,12,0,3
640,12,2.87,4,4,-0.74,12,12,0,3
640,12,2.92,9,9,-0.74,12,12,0,3
640,12,2.85,12,12,-0.74,12,12,0,3
640,12,2.83,13,13,-0.74,12,12,0,3
640,12,3.04,14,14,-0.74,12,12,0,3
641,12,2.77,3,4,-0.81,10,8,1,0
641,12,2.62,8,9,-0.81,10,8,1,0
641,12,2.9,9,10,-0.81,10,8,1,0
641,12,2.95,10,11,-0.81,10,8,1,0
641,12,2.86,11,12,-0.81,10,8,1,0
641,12,2.68,12,13,-0.81,10,8,1,0
641,12,2.76,13,14,-0.81,10,8,1,0
642,12,2.3,4,4,0.09,12,16,0,5
642,12,2.25,5,5,0.09,12,16,0,5
642,12,1.71,6,6,0.09,12,16,0,5
642,12,1.51,7,7,0.09,12,16,0,5
642,12,2.21,8,8,0.09,12,16,0,5
642,12,2.21,9,9,0.09,12,16,0,5
642,12,2.23,11,11,0.09,12,16,0,5
642,12,2.16,12,12,0.09,12,16,0,5
642,12,1.8,13,13,0.09,12,16,0,5
642,12,2.17,14,14,0.09,12,16,0,5
643,11,1.61,1,3,-0.91,12,12,0,1
643,12,1.62,1,4,-0.91,12,12,0,1
643,13,1.12,1,5,-0.91,12,12,0,1
643,15,1.25,2,8,-0.91,12,12,0,1
643,15,1.1,3,9,-0.91,12,12,0,1
643,15,2.01,4,10,-0.91,12,12,0,1
643,15,1.92,5,11,-0.91,12,12,0,1
643,15,1.96,6,12,-0.91,12,12,0,1
643,15,2.3,7,13,-0.91,12,12,0,1
643,15,2.11,8,14,-0.91,12,12,0,1
644,11,1.89,14,13,0.08,11,12,0,1
644,11,2.25,15,14,0.08,11,12,0,1
645,13,1.88,2,1,1.2,14,14,1,0
645,15,1.26,10,11,1.2,14,14,1,0
645,15,1.1,11,12,1.2,14,14,1,0
645,15,1.33,12,13,1.2,14,14,1,0
645,15,1.55,13,14,1.2,14,14,1,0
646,12,2.3,5,1,-0.03,12,12,0,2
646,12,2.35,8,4,-0.03,12,12,0,2
646,12,2.31,9,5,-0.03,12,12,0,2
646,12,2.27,10,6,-0.03,12,12,0,2
646,12,2.18,11,7,-0.03,12,12,0,2
646,12,2.22,12,8,-0.03,12,12,0,2
646,12,2.24,13,9,-0.03,12,12,0,2
646,12,2.31,14,10,-0.03,12,12,0,2
646,12,2.2,15,11,-0.03,12,12,0,2
646,12,2.42,16,12,-0.03,12,12,0,2
646,12,2.48,17,13,-0.03,12,12,0,2
647,13,1.9,2,5,1.08,12,12,0,2
647,13,1.87,3,6,1.08,12,12,0,2
647,13,1.86,4,7,1.08,12,12,0,2
647,13,2.03,6,9,1.08,12,12,0,2
647,13,1.99,7,10,1.08,12,12,0,2
647,13,2.26,8,11,1.08,12,12,0,2
647,13,2.03,9,12,1.08,12,12,0,2
647,13,2.07,10,13,1.08,12,12,0,2
647,13,2.03,11,14,1.08,12,12,0,2
648,11,1.76,6,1,-0.4,11,6,0,4
648,11,1.48,7,2,-0.4,11,6,0,4
648,11,1.54,8,3,-0.4,11,6,0,4
648,11,1.31,9,4,-0.4,11,6,0,4
648,11,1.76,10,5,-0.4,11,6,0,4
648,11,1.86,11,6,-0.4,11,6,0,4
648,11,2.01,13,8,-0.4,11,6,0,4
648,11,1.14,14,9,-0.4,11,6,0,4
648,11,1.82,16,11,-0.4,11,6,0,4
648,11,1.89,17,12,-0.4,11,6,0,4
649,12,2.01,3,0,-0.31,12,10,0,0
649,12,2.98,4,1,-0.31,12,10,0,0
649,12,2.3,5,2,-0.31,12,10,0,0
649,12,2.86,7,4,-0.31,12,10,0,0
649,12,2.98,9,6,-0.31,12,10,0,0
649,12,2.86,10,7,-0.31,12,10,0,0
649,12,2.88,11,8,-0.31,12,10,0,0
649,12,2.97,12,9,-0.31,12,10,0,0
649,12,3.04,13,10,-0.31,12,10,0,0
649,12,3.05,14,11,-0.31,12,10,0,0
649,12,3.42,15,12,-0.31,12,10,0,0
649,12,2.9,16,13,-0.31,12,10,0,0
649,12,3.02,17,14,-0.31,12,10,0,0
650,15,0.88,1,3,0.86,14,14,0,2
650,15,2.12,2,4,0.86,14,14,0,2
650,15,2.06,3,5,0.86,14,14,0,2
650,15,1.78,5,7,0.86,14,14,0,2
650,15,2.58,6,8,0.86,14,14,0,2
650,15,2.72,7,9,0.86,14,14,0,2
650,15,2.42,8,10,0.86,14,14,0,2
650,15,2.1,9,11,0.86,14,14,0,2
650,15,2.24,10,12,0.86,14,14,0,2
650,15,2.33,11,13,0.86,14,14,0,2
650,15,2.34,12,14,0.86,14,14,0,2
651,13,2.2,2,4,-0.46,13,9,0,1
651,13,1.95,3,5,-0.46,13,9,0,1
651,13,2.1,4,6,-0.46,13,9,0,1
651,13,2.02,5,7,-0.46,13,9,0,1
651,13,1,6,8,-0.46,13,9,0,1
651,13,1.34,10,12,-0.46,13,9,0,1
651,13,2.78,11,13,-0.46,13,9,0,1
651,13,2.78,12,14,-0.46,13,9,0,1
652,12,1.88,2,1,0.44,12,11,0,0
652,12,2,3,2,0.44,12,11,0,0
652,12,1.92,4,3,0.44,12,11,0,0
652,12,1.89,5,4,0.44,12,11,0,0
652,12,1.85,6,5,0.44,12,11,0,0
652,12,1.96,7,6,0.44,12,11,0,0
652,12,2.15,8,7,0.44,12,11,0,0
652,12,2.11,9,8,0.44,12,11,0,0
652,12,2.3,10,9,0.44,12,11,0,0
652,12,2.26,11,10,0.44,12,11,0,0
652,12,2.29,12,11,0.44,12,11,0,0
652,12,2.32,13,12,0.44,12,11,0,0
652,12,2.34,14,13,0.44,12,11,0,0
652,12,2.26,15,14,0.44,12,11,0,0
653,9,1.6,3,2,0.86,12,16,0,3
653,9,1.83,4,3,0.86,12,16,0,3
654,11,1.9,2,1,-0.09,3,8,0,3
654,12,1.92,2,2,-0.09,3,8,0,3
654,12,1.97,3,3,-0.09,3,8,0,3
654,12,1.98,4,4,-0.09,3,8,0,3
654,12,2.29,5,5,-0.09,3,8,0,3
654,12,2.45,6,6,-0.09,3,8,0,3
654,12,2.54,7,7,-0.09,3,8,0,3
654,12,2.48,8,8,-0.09,3,8,0,3
654,12,2.63,9,9,-0.09,3,8,0,3
654,12,2.42,10,10,-0.09,3,8,0,3
654,12,2.55,11,11,-0.09,3,8,0,3
654,12,2.55,12,12,-0.09,3,8,0,3
654,12,2.52,13,13,-0.09,3,8,0,3
654,12,2.49,14,14,-0.09,3,8,0,3
655,11,1.95,2,1,0.58,11,10,1,4
655,11,1.85,3,2,0.58,11,10,1,4
655,11,2.01,4,3,0.58,11,10,1,4
655,11,2.45,5,4,0.58,11,10,1,4
655,11,1.79,6,5,0.58,11,10,1,4
656,13,1.87,1,0,-0.32,12,12,1,2
656,13,2.45,3,2,-0.32,12,12,1,2
656,13,2.01,4,3,-0.32,12,12,1,2
656,13,2.08,5,4,-0.32,12,12,1,2
656,13,2.09,6,5,-0.32,12,12,1,2
656,13,2.28,7,6,-0.32,12,12,1,2
656,13,2.62,8,7,-0.32,12,12,1,2
656,13,2.71,9,8,-0.32,12,12,1,2
656,13,2.78,10,9,-0.32,12,12,1,2
656,13,2.8,11,10,-0.32,12,12,1,2
656,13,2.81,12,11,-0.32,12,12,1,2
656,13,2.82,13,12,-0.32,12,12,1,2
656,13,2.82,14,13,-0.32,12,12,1,2
656,13,2.79,15,14,-0.32,12,12,1,2
657,13,1.76,5,4,0.59,16,16,0,5
657,13,1.93,6,5,0.59,16,16,0,5
658,15,2.13,3,7,0.83,16,16,0,5
658,15,2.25,4,8,0.83,16,16,0,5
658,15,2.42,5,9,0.83,16,16,0,5
658,15,2.46,6,10,0.83,16,16,0,5
658,15,2.97,7,11,0.83,16,16,0,5
658,15,3.09,8,12,0.83,16,16,0,5
658,15,3.08,9,13,0.83,16,16,0,5
658,15,2.92,10,14,0.83,16,16,0,5
659,12,1.85,3,3,-0.02,12,14,0,1
659,12,2.47,4,4,-0.02,12,14,0,1
659,12,1.82,5,5,-0.02,12,14,0,1
659,12,1.66,6,6,-0.02,12,14,0,1
659,12,2.09,7,7,-0.02,12,14,0,1
659,12,2.33,8,8,-0.02,12,14,0,1
659,12,2.28,9,9,-0.02,12,14,0,1
659,12,2.38,10,10,-0.02,12,14,0,1
659,12,2.46,11,11,-0.02,12,14,0,1
659,12,2.48,12,12,-0.02,12,14,0,1
659,12,2.37,13,13,-0.02,12,14,0,1
659,12,2.29,14,14,-0.02,12,14,0,1
660,15,2.61,4,8,0.51,12,13,0,5
660,15,2.45,5,9,0.51,12,13,0,5
660,15,2.48,6,10,0.51,12,13,0,5
660,15,2.68,7,11,0.51,12,13,0,5
660,15,3.07,8,12,0.51,12,13,0,5
660,15,2.86,9,13,0.51,12,13,0,5
660,15,3.36,10,14,0.51,12,13,0,5
661,12,2.24,4,0,-0.52,10,11,0,1
661,12,2.24,5,1,-0.52,10,11,0,1
661,12,2.41,6,2,-0.52,10,11,0,1
661,12,2.34,7,3,-0.52,10,11,0,1
661,12,2.33,8,4,-0.52,10,11,0,1
661,12,2.42,9,5,-0.52,10,11,0,1
661,12,2.31,10,6,-0.52,10,11,0,1
661,12,2.45,11,7,-0.52,10,11,0,1
661,12,2.5,12,8,-0.52,10,11,0,1
661,12,2.06,13,9,-0.52,10,11,0,1
661,12,2.09,14,10,-0.52,10,11,0,1
661,12,2.16,15,11,-0.52,10,11,0,1
661,12,2.09,16,12,-0.52,10,11,0,1
661,12,2.25,17,13,-0.52,10,11,0,1
661,12,2.18,18,14,-0.52,10,11,0,1
662,12,1.94,3,0,0.06,12,6,0,2
662,12,1.81,4,1,0.06,12,6,0,2
662,12,1.94,5,2,0.06,12,6,0,2
662,12,1.72,6,3,0.06,12,6,0,2
662,12,2.42,7,4,0.06,12,6,0,2
662,12,2.49,8,5,0.06,12,6,0,2
662,12,2.39,9,6,0.06,12,6,0,2
663,14,2.15,3,6,0.71,12,12,0,1
663,15,2.11,3,7,0.71,12,12,0,1
663,15,2.36,4,8,0.71,12,12,0,1
663,15,2.41,5,9,0.71,12,12,0,1
663,15,2.64,6,10,0.71,12,12,0,1
663,15,2.77,7,11,0.71,12,12,0,1
663,15,2.82,8,12,0.71,12,12,0,1
663,15,2.79,9,13,0.71,12,12,0,1
663,15,2.79,10,14,0.71,12,12,0,1
664,12,1.32,3,5,0.29,11,12,1,0
664,12,1.39,4,6,0.29,11,12,1,0
664,13,1.92,4,7,0.29,11,12,1,0
664,13,1.57,7,10,0.29,11,12,1,0
664,13,2.46,9,12,0.29,11,12,1,0
664,13,2.35,10,13,0.29,11,12,1,0
664,13,2.69,11,14,0.29,11,12,1,0
665,12,2.14,1,0,0.28,14,9,0,2
665,12,2.62,2,1,0.28,14,9,0,2
665,12,2.73,3,2,0.28,14,9,0,2
665,12,2.19,4,3,0.28,14,9,0,2
665,12,2.32,5,4,0.28,14,9,0,2
665,12,2.03,6,5,0.28,14,9,0,2
665,12,2.5,7,6,0.28,14,9,0,2
665,12,2.84,8,7,0.28,14,9,0,2
665,12,2.99,9,8,0.28,14,9,0,2
665,12,2.67,10,9,0.28,14,9,0,2
665,12,2.56,11,10,0.28,14,9,0,2
665,12,2.21,12,11,0.28,14,9,0,2
665,12,1.94,13,12,0.28,14,9,0,2
665,12,1.93,15,14,0.28,14,9,0,2
666,15,1.64,2,8,0.4,14,16,0,2
666,15,2.56,3,9,0.4,14,16,0,2
666,15,2.6,4,10,0.4,14,16,0,2
666,15,2.5,5,11,0.4,14,16,0,2
666,15,2.66,6,12,0.4,14,16,0,2
666,15,2.66,7,13,0.4,14,16,0,2
666,15,2.67,8,14,0.4,14,16,0,2
667,12,1.28,6,7,-0.23,12,10,0,1
667,12,1.92,8,9,-0.23,12,10,0,1
668,16,2.4,2,2,1.38,12,10,0,1
668,16,2.6,3,3,1.38,12,10,0,1
668,16,3.01,4,4,1.38,12,10,0,1
668,16,3.04,5,5,1.38,12,10,0,1
668,16,3.08,6,6,1.38,12,10,0,1
668,16,3.3,7,7,1.38,12,10,0,1
668,16,3,8,8,1.38,12,10,0,1
668,16,3.05,9,9,1.38,12,10,0,1
668,16,3.04,10,10,1.38,12,10,0,1
668,16,3.14,11,11,1.38,12,10,0,1
668,16,3.18,12,12,1.38,12,10,0,1
668,16,3.24,13,13,1.38,12,10,0,1
669,15,1.3,11,10,1.34,12,18,0,2
669,15,1.51,12,11,1.34,12,18,0,2
669,15,2,13,12,1.34,12,18,0,2
669,15,1.96,14,13,1.34,12,18,0,2
669,15,2.07,15,14,1.34,12,18,0,2
670,11,1.35,1,1,0,10,10,0,2
670,12,2.03,1,2,0,10,10,0,2
670,12,2.04,2,3,0,10,10,0,2
670,12,1.49,4,5,0,10,10,0,2
670,12,2.37,5,6,0,10,10,0,2
670,12,2.27,6,7,0,10,10,0,2
670,12,2.48,7,8,0,10,10,0,2
670,12,2.6,8,9,0,10,10,0,2
670,12,2.64,9,10,0,10,10,0,2
670,12,2.69,10,11,0,10,10,0,2
670,12,2.39,11,12,0,10,10,0,2
670,12,2.69,12,13,0,10,10,0,2
670,12,3,13,14,0,10,10,0,2
671,12,1.94,2,0,-0.11,15,12,0,1
671,12,1.98,3,1,-0.11,15,12,0,1
671,12,2.07,4,2,-0.11,15,12,0,1
671,12,2.1,5,3,-0.11,15,12,0,1
671,12,2.2,6,4,-0.11,15,12,0,1
671,12,2.12,7,5,-0.11,15,12,0,1
671,12,2.2,8,6,-0.11,15,12,0,1
671,12,2.15,9,7,-0.11,15,12,0,1
671,12,2.15,10,8,-0.11,15,12,0,1
671,12,2.24,11,9,-0.11,15,12,0,1
671,12,2.22,12,10,-0.11,15,12,0,1
671,12,2.2,13,11,-0.11,15,12,0,1
671,12,2.24,14,12,-0.11,15,12,0,1
671,12,2.35,16,14,-0.11,15,12,0,1
672,16,2.68,3,10,0.22,13,16,0,1
672,16,2.43,4,11,0.22,13,16,0,1
672,16,2.62,5,12,0.22,13,16,0,1
672,16,2.76,6,13,0.22,13,16,0,1
672,16,2.67,7,14,0.22,13,16,0,1
673,15,2.58,9,13,0.18,16,16,0,2
673,15,2.47,10,14,0.18,16,16,0,2
674,15,2.08,4,8,0.68,12,18,0,2
674,15,2.34,5,9,0.68,12,18,0,2
674,15,2.69,6,10,0.68,12,18,0,2
674,15,2.05,7,11,0.68,12,18,0,2
674,15,2.71,8,12,0.68,12,18,0,2
674,15,2.58,9,13,0.68,12,18,0,2
674,15,2.58,10,14,0.68,12,18,0,2
675,12,2.01,2,0,0.01,12,8,0,1
675,12,2.17,3,1,0.01,12,8,0,1
675,12,2.03,4,2,0.01,12,8,0,1
675,12,2.01,5,3,0.01,12,8,0,1
675,12,2.09,6,4,0.01,12,8,0,1
675,12,2.22,7,5,0.01,12,8,0,1
676,12,2.45,6,2,0.27,12,12,0,1
676,12,2.3,7,3,0.27,12,12,0,1
676,12,2.29,8,4,0.27,12,12,0,1
676,12,2.48,9,5,0.27,12,12,0,1
676,12,2.35,10,6,0.27,12,12,0,1
676,12,2.72,11,7,0.27,12,12,0,1
676,12,2.73,12,8,0.27,12,12,0,1
676,12,2.62,13,9,0.27,12,12,0,1
676,12,2.46,17,13,0.27,12,12,0,1
676,12,2.47,18,14,0.27,12,12,0,1
677,12,1.97,1,2,-0.34,12,12,0,1
677,12,1.96,2,3,-0.34,12,12,0,1
677,12,1.4,3,4,-0.34,12,12,0,1
677,12,1.68,4,5,-0.34,12,12,0,1
677,12,1.64,5,6,-0.34,12,12,0,1
677,12,2.34,7,8,-0.34,12,12,0,1
678,10,1.72,2,2,1.03,9,9,0,3
678,15,0.85,2,7,1.03,9,9,0,3
678,15,2.36,3,8,1.03,9,9,0,3
678,15,2.6,4,9,1.03,9,9,0,3
678,15,2.64,5,10,1.03,9,9,0,3
678,15,2.56,6,11,1.03,9,9,0,3
678,15,2.76,7,12,1.03,9,9,0,3
678,15,2.85,8,13,1.03,9,9,0,3
678,15,2.68,9,14,1.03,9,9,0,3
679,16,2.65,2,9,1.8,17,16,0,1
679,16,2.8,3,10,1.8,17,16,0,1
679,16,3.09,4,11,1.8,17,16,0,1
679,16,3.48,5,12,1.8,17,16,0,1
679,16,3.55,6,13,1.8,17,16,0,1
679,16,2.98,7,14,1.8,17,16,0,1
680,15,1.69,5,4,0.47,18,16,0,3
680,15,2.05,7,6,0.47,18,16,0,3
680,15,2.57,8,7,0.47,18,16,0,3
680,15,2.79,9,8,0.47,18,16,0,3
680,15,2.66,10,9,0.47,18,16,0,3
680,15,2.66,11,10,0.47,18,16,0,3
680,15,2.65,12,11,0.47,18,16,0,3
680,15,2.68,13,12,0.47,18,16,0,3
680,15,2.71,14,13,0.47,18,16,0,3
680,15,2.82,15,14,0.47,18,16,0,3
681,16,2.74,2,3,1.05,16,16,0,5
681,16,2.89,3,4,1.05,16,16,0,5
681,16,2.91,4,5,1.05,16,16,0,5
681,16,2.91,5,6,1.05,16,16,0,5
681,16,3.05,6,7,1.05,16,16,0,5
681,16,3.08,7,8,1.05,16,16,0,5
681,16,3.12,8,9,1.05,16,16,0,5
681,16,3.13,9,10,1.05,16,16,0,5
681,16,3.2,10,11,1.05,16,16,0,5
681,16,3.26,11,12,1.05,16,16,0,5
681,16,3.36,12,13,1.05,16,16,0,5
681,16,3.27,13,14,1.05,16,16,0,5
682,16,2.9,5,9,1.26,16,16,0,5
682,16,2.88,6,10,1.26,16,16,0,5
682,16,2.96,7,11,1.26,16,16,0,5
682,16,2.97,8,12,1.26,16,16,0,5
682,16,2.98,9,13,1.26,16,16,0,5
682,16,3.02,10,14,1.26,16,16,0,5
683,13,1.68,6,3,0.72,16,16,0,5
683,13,2.03,7,4,0.72,16,16,0,5
684,12,2.28,5,1,-0.18,12,12,0,3
684,12,2.3,6,2,-0.18,12,12,0,3
684,12,1.6,7,3,-0.18,12,12,0,3
684,12,1.69,8,4,-0.18,12,12,0,3
684,12,2.01,10,6,-0.18,12,12,0,3
684,12,2.03,12,8,-0.18,12,12,0,3
684,12,2.57,14,10,-0.18,12,12,0,3
684,12,1.67,15,11,-0.18,12,12,0,3
684,12,0.69,16,12,-0.18,12,12,0,3
685,9,2.17,5,2,-1.28,9,9,0,5
685,9,2.16,7,4,-1.28,9,9,0,5
685,9,1.8,8,5,-1.28,9,9,0,5
